title,company,loaction,link
Python Developer Intern,OXO Solutions,"Ruby, SC",https://www.indeed.com/viewjob?jk=84a541c104b5b24c
PYTHON DEVELOPER - DJANGO/FLASK,SpanIdea Systems,"Milpitas, CA",https://www.indeed.com/viewjob?jk=2b7f94540280497a
